Kingdom	Phylum	Class	Order	Family	Genus
Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidicapsa
Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Acidobacterium
Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Bryocella
Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Edaphobacter
Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Granulicella
Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Telmatobacter
Bacteria	Acidobacteria	Acidobacteria	Acidobacteriales	Acidobacteriaceae	Terriglobus
Bacteria	Acidobacteria	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter
Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Geothrix
Bacteria	Acidobacteria	Holophagae	Holophagales	Holophagaceae	Holophaga
Bacteria	Aquificae	Aquificae	Aquificales	Holophagaceae	Thermosulfidibacter
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Aquifex
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenivirga
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobacter
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Hydrogenobaculum
Bacteria	Aquificae	Aquificae	Aquificales	Aquificaceae	Thermocrinis
Bacteria	Aquificae	Aquificae	Aquificales	Desulfurobacteriaceae	Balnearium
Bacteria	Aquificae	Aquificae	Aquificales	Desulfurobacteriaceae	Desulfurobacterium
Bacteria	Aquificae	Aquificae	Aquificales	Desulfurobacteriaceae	Thermovibrio
Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Hydrogenothermus
Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Persephonella
Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Sulfurihydrogenibium
Bacteria	Aquificae	Aquificae	Aquificales	Hydrogenothermaceae	Venenivibrio
Bacteria	Armatimonadetes	Armatimonadia	Armatimonadales	Armatimonadaceae	Armatimonas
Bacteria	Armatimonadetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Chthonomonas
Bacteria	Bacteroidetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Marinifilum
Bacteria	Bacteroidetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Ohtaekwangia
Bacteria	Bacteroidetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Prolixibacter
Bacteria	Bacteroidetes	Chthonomonadetes	Chthonomonadales	Chthonomonadaceae	Toxothrix
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Chthonomonadaceae	Phocaeicola
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Chthonomonadaceae	Sunxiuqinia
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Acetofilamentum
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Acetomicrobium
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Acetothermus
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Anaerorhabdus
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Alkaliflexus
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Anaerophaga
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Geofilum
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Marinilabilia
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Marinilabiliaceae	Natronoflexus
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Barnesiella
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Butyricimonas
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Dysgonomonas
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Odoribacter
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Paludibacter
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Parabacteroides
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Petrimonas
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Proteiniphilum
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Tannerella
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Hallella
Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae	Paraprevotella
