baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Bacteroides	1925550.75088284	-0.930817560358897	0.913927632280279	-1.01848059680226	0.308449617237142	0.997000488191416
Clostridium	1551955.99600927	-1.15134441029673	0.92943659809757	-1.23875519067505	0.215436172863096	0.997000488191416
Eubacterium	1111780.27029254	-1.47863167382548	0.954813737003042	-1.54860745768761	0.121476112091698	0.997000488191416
Ruminococcus	826064.511890455	-0.543394826752227	0.891876905719746	-0.609271103744643	0.542344757161663	0.997000488191416
Roseburia	766099.658967476	-2.05405994394962	1.00067141137119	-2.05268175008119	0.0401034531561554	0.811617504350764
Faecalibacterium	496546.20082337	-1.79377878437569	0.980056805224871	-1.8302804233517	0.0672080171855009	0.921400235607673
Parabacteroides	190249.352678266	-0.735827668972844	0.90176728557932	-0.815983991368824	0.414509291766014	0.997000488191416
Coprococcus	154915.512325457	0.353404726188736	0.884708965893788	0.399458737068077	0.689555221870946	0.997000488191416
Butyrivibrio	122663.042047524	-1.14943510666674	0.929351911822206	-1.23681362468283	0.216156282698763	0.997000488191416
Dorea	115013.731491353	-1.04934452469938	0.922078132669726	-1.13802126687591	0.255111602124466	0.997000488191416
Streptococcus	93549.9311601351	-0.529699518528039	0.891347783547521	-0.594268060464413	0.552332837499014	0.997000488191416
Bifidobacterium	57846.1061732532	-0.836635108683126	0.907890689286467	-0.92151524247997	0.356781486979491	0.997000488191416
Ethanoligenens	55907.1750921715	-0.0539201418526142	0.879416728597807	-0.0613135275907107	0.951109517612728	0.998557641529947
Bacillus	50526.2767956902	-0.479094379133878	0.889291112490606	-0.538737397017379	0.590068065578065	0.997000488191416
Blautia	50255.5292579953	-1.24973199352964	0.937001482602589	-1.33375668740504	0.182283609976421	0.997000488191416
Clostridiales	48480.2034824043	-1.41601234118412	0.949948287160848	-1.49062044778903	0.136061172735535	0.997000488191416
Alistipes	39607.7903695915	-0.323210185372482	0.883983682877198	-0.365629130529305	0.714641835006914	0.997000488191416
Alkaliphilus	35555.303907147	-0.591484182838539	0.894342410842494	-0.661362108816182	0.508380119568897	0.997000488191416
Subdoligranulum	35110.7025151223	-0.0841381471465984	0.87969453768212	-0.0956447306906002	0.923802738069601	0.998557641529947
Prevotella	33677.044096828	0.586548634718119	0.894110185906029	0.65601381570634	0.511815234973924	0.997000488191416
Abiotrophia	32294.6147523967	-0.655299470480244	0.897573122002673	-0.73007920404093	0.465341772149651	0.997000488191416
Thermoanaerobacter	32167.8980293383	-0.212156479616233	0.881400146894461	-0.240703930404084	0.80978459250289	0.997560729894864
Marvinbryantia	32128.779448505	-0.701021781001129	0.900028371855949	-0.778888536097536	0.436045377537336	0.997000488191416
Caldicellulosiruptor	29749.2103448442	0.0296578403141951	0.879461119881043	0.0337227418515178	0.973098243909401	0.998557641529947
Lactobacillus	28182.5110976707	-0.535315600191943	0.891804415048682	-0.600261213287132	0.548332163755689	0.997000488191416
Acidaminococcus	27512.9055744596	-1.24040589873018	0.936411354062953	-1.32463782433675	0.185291304253217	0.997000488191416
Holdemania	24211.5316570262	-1.25561913041726	0.937610919867181	-1.33916862934481	0.18051578251402	0.997000488191416
Desulfovibrio	20065.1576443986	1.74526255888257	0.976485885526535	1.78728907888054	0.0738907782350303	0.939424776312953
Oribacterium	18562.59126648	-1.23800800121776	0.936358900280355	-1.32215115469836	0.186117822466032	0.997000488191416
Burkholderia	18311.6962876342	-0.976893320512615	0.917326516142991	-1.06493522570358	0.286905242999733	0.997000488191416
Veillonella	18291.0829838423	-1.88832779898359	0.987946568022437	-1.91136632294137	0.0559575213641966	0.893814444927876
Anaerostipes	16587.8572007231	-0.707052003386327	0.900600860201952	-0.785089193927459	0.43240127498969	0.997000488191416
Ruminococcaceae	16402.2485208903	0.259658932358218	0.882634306478582	0.294186313009032	0.768615538773841	0.997000488191416
Atopobium	16300.3156551383	-0.732074834376777	0.902012720529005	-0.811601452746072	0.417020357430478	0.997000488191416
Paenibacillus	16135.0926406674	0.0756383756753261	0.879920276376642	0.0859604872236741	0.931497827544622	0.998557641529947
Anaerotruncus	15696.7744201717	0.7499531477388	0.903034730119436	0.830480957957852	0.406266909614053	0.997000488191416
Desulfitobacterium	15385.0175285864	-0.354632104663255	0.885248405296351	-0.40060180006146	0.688713320165258	0.997000488191416
Fusobacterium	15245.6596882929	-0.839047709201554	0.908429756012068	-0.923624202805625	0.355682008164912	0.997000488191416
Mitsuokella	15126.7972481913	2.99423748516989	1.06750716360017	2.80488748672358	0.00503341465545671	0.541482490761652
Collinsella	14649.0773666653	-0.126975877655514	0.880440700077593	-0.144218546058041	0.885327896402962	0.998557641529947
Anaerococcus	14234.4471012394	-0.000581682655104013	0.879737530886654	-0.000661200226978787	0.999472438585735	0.99996197636161
Enterococcus	13724.9009341361	-0.762089056170302	0.903835946493005	-0.843171882162136	0.39913232154285	0.997000488191416
Porphyromonas	13412.0072304081	-0.0269725893656237	0.879807566890338	-0.0306573737038404	0.97554278602582	0.99903146291905
Escherichia	12989.36535672	-2.38228610688206	1.02591741066037	-2.32210320453437	0.0202273791785968	0.705002593496263
Brachyspira	12918.8817687441	-1.14050444342977	0.929216484442743	-1.22738292155217	0.219678702323613	0.997000488191416
