Number of total reads: 		250000
Number of unique reads: 	2159
Number of unique transcripts: 	2159
Number of unique organisms: 	344

Percent of total	Count	Species name
33.6208	84052	hypothetical protein	001851b94400f29821a9c41f1a243cd7
9.9632	24908	conserved hypothetical protein	000b1dfab004d1b57a6670954bf75fde
3.6504	9126	pyruvat	01d9d836607e0f26c2aaf1858f0aa918
3.4792	8698	3-hydroxybutyryl-coA dehydratase	0164a4689ae62138f6e4a288ff66efb7
2.5796	6449	peptidyl-prolyl cis-trans isomerase	00b2a0d2a227f630e5d527adf90d6440
2.1672	5418	elongation factor Tu	007a53314b98399c0c7d2ed71ba417f8
1.9796	4949	malate dehydrogenase	01ceaaacaa6d1020686ae681d66e8d75
1.7852	4463	glucose-6-phosphate isomerase	0043d444d685b5ea2472d8d79f49a56f
1.4228	3557	50S ribosomal protein L17	026618ff98372dbac64e7adca6997740
1.1776	2944	DNA-directed RNA polymerase subunit beta''	006e0a73c99fe14b40c1055370ddcb42
1.0664	2666	phosphoenolpyruvate carboxykinase (ATP)	0090f5937fcb233eb9a32273888d6c19
0.8664	2166	propanediol utilization protein	03127c756713b14a2729d1dfe79a5e84
0.84	2100	stage V sporulation protein R	01df572e582954028bc07c3366c30fa6
0.7264	1816	single-stranded DNA-binding protein	02d08612c57d826b4a8b7c5d1dbd7939
0.706	1765	chaperone protein DnaK	00625258910d996da9a3136d73ab8b1f
0.666	1665	putative ABC transporter component	0012d5e0689c75c78844e440c87a3385
0.65	1625	pyruvate phosphate dikinase	00d93364de6e1068ab7be55f7c04d163
0.5672	1418	ABC transporter related	0058149995229158290c869e46a3e933
0.534	1335	putative isoprenoid biosynthesis-like protein	01417e3baec43e555ca0c2b5127e227b
0.5156	1289	DAK2 domain/DegV family protein	00e25a4cf9d031d19b932427ba66aaa2
0.4948	1237	50S ribosomal protein L22	0047cab2d1f81b1bf46252975efacc8c
0.456	1140	cell division protein FtsA	00515bf90360941ef2c71df47d48982c
0.4192	1048	elongation factor G	008d180b1de831277c1a5da149e73c10
0.3996	999	periplasmic sugar-binding protein	01a78b7ee1f0b4911505be326fb4ed45
0.3972	993	formate--tetrahydrofolate ligase	006375ca6349a24f3dc197af9172b038
0.3816	954	30S ribosomal protein S8	0225b24bb2639395512aa0ec0d2c295c
0.3756	939	uracil permease	0142e590e5a9ea37868c10e36c9f2112
0.3724	931	extracellular solute-binding protein family 1 protein	0300a5e82b688656f67e01b064a4027f
0.3504	876	transketolase	0030978abc8d844711782287173536d7
0.3488	872	F0F1 ATP synthase subunit alpha	00ae45fcd8184043682f5c6e167ca474
0.3336	834	TPR repeat-containing protein	00afbdf37cf7f6137de063ac5ae92bac
0.3228	807	glycine reductas	015e19e28bba8319c6d634ceb8df4183
0.3156	789	glutaconyl-CoA decarboxylase A subunit	0334b1fb666335d68f3adb5d65df8642
0.2984	746	transcriptional regulato	006eef75f7fc7aaa20723cd7ffd69b72
0.2768	692	ribosomal protein L3 RplC	028f8a01d8bc86a19589039dfbb568ce
0.27	675	glyceraldehyde-3-phosphate dehydrogenas	0015fd1addac24907051fd6875b7cbb0
0.2592	648	heavy-metal transporting P-type ATPase	0189cd17eae59bd55b45c6357a0d9455
0.2552	638	PTS syste	002045d207d21a37fff1788694415d7d
0.2476	619	methyl-accepting chemotaxis protein	0151231d79d456b1a7c2139511f24776
0.2428	607	NADH:ubiquinone oxidoreductas	030d82778601d8936ed21ccb9b301efc
0.2316	579	DNA-directed RNA polymerase subunit alpha	009ba68cc723033e7a01f135a2ba877a
0.2268	567	kinas	003d554d68f5121a1c181796c402f260
0.2208	552	phosphoribosylformylglycinamidine synthase	030bb9fb2756029acde81d33877e1eaf
0.2024	506	translation elongation factor G	005743197f5394baa5f448c056fdae0b
0.2004	501	polyphosphate kinase 1	003562e52786e62ee735a3c28839231b
0.1992	498	30S ribosomal protein S11	00241e815181b508084a3f419dd18da7
0.194	485	molecular chaperone DnaK	017f410e8cea5c231657fdde3591701d
0.1872	468	chaperonin GroS	037e7364343d3f185688f79b0024bc41
0.1852	463	oligopeptide ABC transporte	0024cfe60d18fd55fef169406ccf9d13
0.1792	448	50S ribosomal protein L6	008f74e7139796fc69e5b5a9dc1ee714
0.1756	439	ribosome-associated GTPase EngA	002e263b7f9b9cbbffda78ba6f5a8dc5
0.1748	437	GTP-binding protein YchF	016ed027b0c5ce33137e27f0119ddc66
0.1748	437	ATP-dependent metalloprotease FtsH	00155ef5764231a4f16e8f2b249f3882
0.1744	436	translation initiation factor IF-2	003ae878c6a6021de6a66319c291a9dc
0.1664	416	alpha-galactosidase	009b85d47d1ade4be6ff5950d4d0ed4e
0.1604	401	putative two-component histidine sensor kinase	008e5090248b68589647654216a32dfb
0.1596	399	Na+-translocating NADH-quinone reductase subunit C	00aea10674be95e08ab7b0d3fa2fc9a2
0.1572	393	glycogen/starch/alpha-glucan phosphorylase	0045a49d0a383e05b5763f50398ac1c2
0.1556	389	EDD domain protei	00f910e503b785e39562c2c998535cf6
0.1556	389	methionine aminopeptidas	01139c8ca343b31c2539bddbb6094c26
0.1536	384	NHL repeat-containing protein	00d1580cef806f3143cfec645876a76e
0.1424	356	L-ribulokinase (putative)	006899e1829461b1e615bcc506958e3a
0.1412	353	outer membrane efflux protein	012587a6dc7618db4e852af2cb61b5f6
0.134	335	ATP-dependent protease ATP-binding subunit ClpX	000a0eb3d4b6715f04d7e19a22ffa245
0.1328	332	efflux ABC transporte	02fd099aaa0f05e9ad671054582c8576
0.132	330	cytochrome-C peroxidase	035a5cc65dfdbe0ef013556309760503
0.132	330	hydrolas	00c5bde862cbecf6b9e06caaadfb0975
0.128	320	protein RecA	0155bcae954596578cf264561ed44530
0.1268	317	ribosomal protein L16	0143188a148e33428fc9f1e798b94359
0.1256	314	ferredoxin-NADP(+) reductase subunit alpha	008a06bfde9bea247a9deaef84f1682c
0.1244	311	methyl-accepting chemotaxis sensory transducer	006758281110b47019df5fd49f143052
0.124	310	AcrB/AcrD/AcrF family multidrug resistance protein	01c9e66da9ea69a2bf4cd4b15d13be8a
0.1236	309	phosphate-selective porin O and P superfamily	0238f4e123bb60344e687db39e3317be
0.122	305	aminotransferase class I and II	0100f4b3455d9973233edc51c783c5af
0.1212	303	50S ribosomal protein L23	012bd42c0935674d9914da90e6610523
0.12	300	cobalt import ATP-binding protein CbiO 2	00476daf4143aabe3fb5e4766fff1c7c
0.1168	292	iron(III)-transport system permease protein SfuB	02c4bd26cbf003f0ff0af06604efd842
0.116	290	tyrosine--tRNA ligase	00f21369708db0f2425d9ff8c7bd2f1e
0.1156	289	xylulose kinase	02d348582b8adcedff9077b06dab0371
0.1152	288	peptidase M16 inactive domain protein	0022f39ec2cae4595e22f9ae5b64f4b8
0.1148	287	F0F1 ATP synthase subunit beta	0238bcb5628c0782eec2369e200662f9
0.1128	282	outer membrane vitamin B12 receptor protein	014cbeea65694d210b223c33453ee47b
0.112	280	xanthine phosphoribosyltransferase	00969f2dfa8cb1be7c47202070eab50e
0.1096	274	ABC superfamily ATP binding cassette transporte	014c9a02c804b4d0b10e44adc03467a0
0.106	265	predicted protein	001e0a74a6c020cd54fcb97cf36c3866
0.1036	259	amidophosphoribosyltransferase	00abaaf854d648eec3756543550f67a5
0.1028	257	SEC-C motif domain protein	0281876459d110dc7a54b86f9609c12c
0.1024	256	tyrosine phenol-lyase	003e61101b3a89fbd8b2b9b8c3fcdeef
0.1016	254	short chain dehydrogenase	016065b18cf4df19503ee7316d8497e9
0.1008	252	uracil phosphoribosyltransferase	01708f19798e7ca1cc43daf2dc289f30
0.1	250	1-deoxy-D-xylulose-5-phosphate synthase	00320abc4ad4f678bab8db7a28ed30b5
0.0988	247	ribonuclease Ph	02edab50b90251c6f1b4eb9f88e43315
0.0984	246	two-component system sensor histidine kinase	0120ab5be1631154dc8d11f0bb587da7
0.0964	241	beta-mannosidase	0162e038fcfad6bf46c656b8f5478b86
0.0924	231	pyridine nucleotide-disulfide oxidoreductase	00e3c902ccec38dcb4e6b4265be4a551
0.0916	229	Mbl protein	00541503479a0440cd468a8c5f705fce
0.09	225	dipeptidyl peptidase IV	0187ad3daab0f9f16ad54a0c53f905e4
0.0892	223	molybdopterin dehydrogenase FAD-binding	000b60b89ac6d431f26d0cfadee6a9af
0.088	220	HSP90 family protein	02f7b69c4ac0ff390de2c579281181e7
0.0868	217	50S ribosomal protein L3	00b8cb3d8357886229754b6aae537247
0.086	215	acetate kinase	005bdb232ed92a16354f659f2db65dd9
0.0844	211	recombination factor protein RarA	00cd9196397198e2f8e02c60693bc251
0.0832	208	electron transfer flavoprotein (alpha subunit)	02b7fae996062f88919d3e4b09488051
0.0828	207	carbamoyl phosphate synthase small subunit	021df2bab279d222b3d55de5bf22cc54
0.0824	206	putative cytoplasmic protein	027f40bf0f603438590feb4b2b9b750f
0.0816	204	Beta-galactosidase	003eb471b0fd1fe1a4685a223446f96a
0.0812	203	threonine dehydratase	00b4011568a9e47e5f0c411786d75d6b
0.0812	203	preprotein translocas	00d5d455cfa9f175094199767d1a4c68
0.0792	198	ABC transporte	002ee750b665fbd5442b2184be536cb4
0.078	195	polysaccharide ABC transporter ATP-binding protein	01baa771ac8d0a4aeabfd34d1b17476d
0.0776	194	6-phosphofructokinase isozyme 1	001e009a7add6de6d3ec19558b471a8f
0.0776	194	ribosomal protein L20	0252dad25d02641bedeac966d11180a0
0.0768	192	heat shock protein Hsp20	02c4520f7e924f5f623289e0da285df2
0.0768	192	putative aspartate ammonia-lyase	032a481a3fb0df58a305d2340e4d3bd2
0.0768	192	ATPas	003ac9c42aef6b3af0b4dfbcb69173d4
0.076	190	magnesium and cobalt transporter CorA	034f792271fdada7aa2149141a3ca12c
0.0748	187	spermidine synthase	02e04a8b2f0683cf42ed84b1f8828553
0.0748	187	imidazole glycerol-phosphate dehydratase/histidinol phosphatase	00cc1644ebfffa4b5ce095266068aa48
0.074	185	Glu/Leu/Phe/Val dehydrogenase	00221719327e25f48bef753fb13cf2ef
0.0732	183	ribosomal protein L15	023f82e230be0004df0895d62253ec94
0.0728	182	translation elongation factor Tu	00587fbc763ed2e6d130393421c24e10
0.0728	182	fumarate hydratase	00d66aa6ae2c926fa70a9fce5ffdaa11
0.072	180	aspartate kinase	021c45cccffb923dd03fe0d0374fdc8c
0.072	180	alpha-	0171cac8c5050a42df8af035abfe056c
0.072	180	ribosome-binding factor A	022e04f5098386cede4c8669329932b2
0.0716	179	cell cycle protein	012bc0d05eb5104dbb6d2680cf3b893c
0.0704	176	glucose-1-phosphate adenylyltransferase	01790f0d9cbe4b4ee78a8eae2bcf19d6
0.07	175	glutaminase A	021a1efd67bf6fa6ad6f095626f9b045
0.07	175	stage V sporulation protein D	00e5733df126a3ecb2a08dfeaa4ea335
0.0692	173	RNA-binding protein	033ffacba8869bace001096effc1827e
0.0684	171	putative 3-oxoacyl-[acyl-carrier-protein] synthase II	01d94064f924fa75b8efc2de1c0d17c8
0.068	170	transcriptional regulator	00cb0043a46260ad3d13efd2993691f6
0.0672	168	D-alanyl-D-alanine carboxypeptidase	0168f79ef505140aff94708c5e6290fb
0.0664	166	P-type ATPase - metal/cation transport	006ae9c987013dc4278114be34dc3fc9
0.0664	166	V-type ATP synthase subunit A	00c6a3443cc8344bcdeb1f72fde03c46
0.0656	164	DNA polymerase II	00575acc48f6a847de0637342349f368
0.0656	164	1-deoxy-D-xylulose 5-phosphate reductoisomerase	00baac3d655b4e7e60eaaecbec2aacd0
0.0656	164	trypsin domain protein	01d238814a7a52ce874a4a2bb55cc063
0.0652	163	NADP-specific glutamate dehydrogenase	007e073a3c9f6830b68eb2be2123247b
0.0648	162	ATP-dependent Clp proteas	00ffb06b5a699c6e9207e8d0119d0fbc
0.0644	161	dephospho-CoA kinase	0161f90dc31f4df6a56844b171fd4cf8
0.0644	161	glycyl-tRNA synthetase	0063d124cf18d79c784817c7c02ecbe7
0.0632	158	ureas	030117c7a1935899da1e7c7a95710b27
0.0628	157	RpoD family RNA polymerase sigma factor	01b809aa05dd5b9780973e4caea81ab7
0.062	155	ribosomal protein L20 RplT	019bc3ba17b7eaf3c18667340ee51525
0.0612	153	ribosomal protein S10	000f484b13547f19d50ac98a5eed3a68
0.0612	153	thiol:disulfide interchange protein	0325f1417245393dd82ab9d1943f4343
0.0612	153	ribosomal protein L4/L1 family protein	02046220ea6bb9c7d6c2e330f06dba07
0.0608	152	TonB-dependent receptor	00452a10e47224a075d5d00b077219dc
0.0604	151	signal recognition particle-docking protein FtsY	00041978678ba63ab6057840be689d42
0.0604	151	MiaB-like tRNA modifying enzyme	0007f9d501edb73b9b5d11a5e300f6e4
0.06	150	Chaperonin Cpn10	0194e9b734cd31061e239b0a80469013
0.0596	149	HD domain protein	033ca16b092834883040af74be114802
0.0596	149	putative glycosyltransferase	0195f71d2ccf15bf4750f7336264088a
0.0588	147	preprotein translocase subunit SecY	0056c0e997f815853c26a087f78434b2
0.0584	146	phosphoenolpyruvate synthase/pyruvate phosphate dikinase	00e3f67b2431a68a12f01fb2770542a6
