Number of total reads: 		250000
Number of unique reads: 	1233
Number of unique transcripts: 	1233
Number of unique organisms: 	355

Percent of total	Count	Species name
7.9348	19837	Eubacterium rectale ATCC 33656
7.6748	19187	Faecalibacterium prausnitzii M21/2
6.2796	15699	Bacteroides fragilis 3_1_12
6.124	15310	Roseburia inulinivorans DSM 16841
5.4764	13691	Bacteroides sp. 3_2_5
3.0452	7613	Roseburia intestinalis L1-82
2.92	7300	Bacteroides thetaiotaomicron VPI-5482
2.5448	6362	Bacteroides sp. 4_3_47FAA
2.4508	6127	Bacteroides fragilis NCTC 9343
2.3028	5757	Clostridium phytofermentans ISDg
1.8568	4642	Eubacterium eligens ATCC 27750
1.7168	4292	Clostridium beijerinckii NCIMB 8052
1.688	4220	Faecalibacterium prausnitzii A2-165
1.586	3965	Ruminococcus albus 7
1.5296	3824	Bacteroides fragilis YCH46
1.3992	3498	Coprococcus comes ATCC 27758
1.3196	3299	Ruminococcus sp. 5_1_39BFAA
1.294	3235	Marvinbryantia formatexigens DSM 14469
1.272	3180	Clostridiales bacterium 1_7_47FAA
1.192	2980	Clostridium sp. SS2/1
1.1668	2917	Clostridium sp. M62/1
1.1	2750	Clostridium saccharolyticum WM1
1.0912	2728	Parabacteroides distasonis ATCC 8503
1.0816	2704	Prevotella ruminicola 23
1.0728	2682	Faecalibacterium cf. prausnitzii KLE1255
1.0188	2547	Ruminococcus obeum ATCC 29174
1.0036	2509	Alistipes putredinis DSM 17216
0.922	2305	Bacteroides sp. 2_1_16
0.8772	2193	Butyrivibrio proteoclasticus B316
0.8668	2167	Clostridium perfringens B str. ATCC 3626
0.7544	1886	Bacteroides pectinophilus ATCC 43243
0.7164	1791	Bacteroides uniformis ATCC 8492
0.7032	1758	Clostridium botulinum A str. ATCC 3502
0.68	1700	Clostridium botulinum E3 str. Alaska E43
0.5616	1404	Dorea longicatena DSM 13814
0.504	1260	Clostridium nexile DSM 1787
0.4932	1233	Ruminococcus torques ATCC 27756
0.4864	1216	Clostridium bolteae ATCC BAA-613
0.4696	1174	Caldicellulosiruptor saccharolyticus DSM 8903
0.4048	1012	Alkaliphilus metalliredigens QYMF
0.3996	999	Eubacterium limosum KIST612
0.39	975	Bacteroides sp. D20
0.3828	957	Subdoligranulum variabile DSM 15176
0.3596	899	Ruminococcus gnavus ATCC 29149
0.3544	886	Bacteroides caccae ATCC 43185
0.352	880	Eubacterium hallii DSM 3353
0.3472	868	Slackia heliotrinireducens DSM 20476
0.344	860	Clostridium butyricum E4 str. BoNT E BL5262
0.3364	841	Clostridium hathewayi DSM 13479
0.336	840	Clostridium asparagiforme DSM 15981
0.3164	791	Paracoccidioides brasiliensis Pb01
0.316	790	Desulfitobacterium hafniense Y51
0.3112	778	Clostridium botulinum B str. Eklund 17B
0.3044	761	Collinsella aerofaciens ATCC 25986
0.3008	752	Bacteroides sp. 3_1_19
0.3004	751	Clostridium botulinum F str. Langeland
0.2912	728	Clostridium carboxidivorans P7
0.2632	658	Acidaminococcus fermentans DSM 20731
