Number of total reads: 		250000
Number of unique reads: 	6503
Number of unique transcripts: 	6503
Number of unique organisms: 	305

Percent of total	Count	Species name
38.052	95130	hypothetical protein	00176fe6203b9b041e9dc1d112413fb7
5.102	12755	conserved hypothetical protein	001e32789a1fc9534d45ed7079b09771
2.5336	6334	elongation factor Tu	00175e75396e3faeb0addc6097a7c141
1.3608	3402	molecular chaperone DnaK	017f410e8cea5c231657fdde3591701d
1.0828	2707	extracellular solute-binding protein	023746c8fa780c1618d622e5c229908e
0.9408	2352	pyruvat	014abe247608dbf8ca16b451807f0339
0.9188	2297	predicted protein	0008b3d6552c2f333d13c4f24f36e042
0.6252	1563	ABC transporter related	007d7d90cc041b7b88c995cf385f0b01
0.542	1355	phosphoenolpyruvate carboxykinase	034943cc67de5297d6ad67b68e690930
0.5272	1318	fructose-	026c44cec4ab565c6b38a1911efd664b
0.3996	999	bacterioferritin	06f4721467346994b1dc25b4c82d90d7
0.3948	987	bifunctional acetaldehyde-CoA/alcohol dehydrogenase	056f53eaa254781d9b4ab36b29b5dc5b
0.3864	966	phosphoglycerate kinase	014427348c6cb58a9a78ae3c0dabae0c
0.3692	923	ABC transporte	00a4912e1fe639c72e54118995258fe6
0.3524	881	glutamate dehydrogenase	008b46117b52d3dbfeaa265e0754b6d1
0.3464	866	pyruvate phosphate dikinase	00d93364de6e1068ab7be55f7c04d163
0.3456	864	DNA-directed RNA polymeras	0080de5ebafc1e5c26d3d410907b648a
0.3408	852	acetyl-CoA acetyltransferase	0043fac1da3b2fb364522e1906d172fb
0.3008	752	phosphoenolpyruvate-protein phosphotransferase	01894e3df29c506daa3e95740ebad45f
0.2948	737	flagellin	0a6654d2bb57e99c3b63206938138cce
0.2712	678	2-alkenal reductase	0071490fe65f972e0f96fca2ab4a92c5
0.2664	666	translation elongation factor Tu	00587fbc763ed2e6d130393421c24e10
0.2492	623	prepilin-type N-terminal cleavage/methylation domain protein	10f1a35d26f073d26c60c6b4079e2bd3
0.2444	611	chaperonin GroEL	02073071b08f951cc48f76979437846c
0.2404	601	putative spore-coat protein	1679e19dd9f1b5702cefd1b8ee5522f3
0.2344	586	ABC transporter solute-binding protein	071f236e96077631c8755155a4a08c58
0.226	565	transposase	005516026530c6b1ce866d126df17a04
0.224	560	succinate dehydrogenase flavoprotein subunit	03fa1c1a34128c02e133172552b02199
0.2232	558	chaperone protein DnaK	00625258910d996da9a3136d73ab8b1f
0.2204	551	50S ribosomal protein L7/L12	00e41dcff32b3e2ed77e1ed841fbe9a6
0.22	550	transcriptional regulato	007653166ee8df1efc844d3f64b3f0ef
0.2116	529	30S ribosomal protein S4	03702a3cd82de83fada1a6371ff706f6
0.2108	527	glucose-6-phosphate isomerase	0043d444d685b5ea2472d8d79f49a56f
0.2016	504	site-specific recombinase	12a805010d8231157abb246a0493fd1d
0.1952	488	adenylate kinase	00638c617cdf0e1a5d59d39b2c52d00b
0.1896	474	ATPase AAA-2 domain protein	00e78a3c02fcac1a4bb2044ac0edc702
0.188	470	elongation factor G	008d180b1de831277c1a5da149e73c10
0.1824	456	DNA-directed RNA polymerase subunit alpha	009ba68cc723033e7a01f135a2ba877a
0.1784	446	glyceraldehyde-3-phosphate dehydrogenase	0329960da63ad70186101dac80548705
0.1716	429	50S ribosomal protein L13	0134fc3935f8514e6ea165bb1e3bf0e2
0.1624	406	malate dehydrogenase	01ceaaacaa6d1020686ae681d66e8d75
0.1612	403	ROK family transcriptional repressor	1a032d2c7e4566e37959a3786f70200e
0.1604	401	flagellin-like protein	0ec836c6b13c57a9d3972f7f344ed037
0.1584	396	30S ribosomal protein S11	00241e815181b508084a3f419dd18da7
0.1576	394	formate acetyltransferase	0055aa3fe23680fd81a26db0fd50d3f8
