Number of total reads: 		250000
Number of unique reads: 	1914
Number of unique transcripts: 	1914
Number of unique organisms: 	310

Percent of total	Count	Species name
4.0292	10073	Eubacterium rectale ATCC 33656
3.4304	8576	Bacteroides sp. 4_3_47FAA
2.9976	7494	Ruminococcus sp. 5_1_39BFAA
2.95	7375	Bacteroides thetaiotaomicron VPI-5482
2.776	6940	Roseburia intestinalis L1-82
2.6404	6601	Clostridium sp. L2-50
2.5244	6311	Ruminococcus albus 7
2.2048	5512	Clostridium phytofermentans ISDg
2.1548	5387	Ruminococcus obeum ATCC 29174
2.0408	5102	Coprococcus eutactus ATCC 27759
1.9736	4934	Bacteroides vulgatus ATCC 8482
1.878	4695	Parabacteroides distasonis ATCC 8503
1.8036	4509	Eubacterium eligens ATCC 27750
1.7336	4334	Bacteroides sp. 3_2_5
1.6124	4031	Ruminococcus albus 8
1.5552	3888	Bacteroides stercoris ATCC 43183
1.5296	3824	Faecalibacterium prausnitzii M21/2
1.5192	3798	Clostridium leptum DSM 753
1.498	3745	Roseburia inulinivorans DSM 16841
1.4048	3512	Bacteroides fragilis YCH46
1.3024	3256	Bacteroides uniformis ATCC 8492
1.0752	2688	Clostridium bartlettii DSM 16795
0.994	2485	Bacteroides sp. 3_1_33FAA
0.9936	2484	Clostridium saccharolyticum WM1
0.9532	2383	Streptomyces coelicolor A3(2)
0.9512	2378	Ethanoligenens harbinense YUAN-3
0.8784	2196	Clostridium sp. SS2/1
0.87	2175	Coprococcus comes ATCC 27758
0.844	2110	Eubacterium hallii DSM 3353
0.8328	2082	Clostridium thermocellum ATCC 27405
0.8136	2034	Ruminococcus lactaris ATCC 29176
0.7976	1994	Butyrivibrio proteoclasticus B316
0.654	1635	Caldicellulosiruptor saccharolyticus DSM 8903
0.6384	1596	Alistipes putredinis DSM 17216
0.6248	1562	Dorea longicatena DSM 13814
0.6084	1521	Subdoligranulum variabile DSM 15176
0.59	1475	Bacteroides sp. D20
0.5692	1423	Faecalibacterium prausnitzii A2-165
0.5668	1417	Ruminococcus flavefaciens FD-1
0.556	1390	Bifidobacterium longum subsp. infantis CCUG 52486
0.5236	1309	Parabacteroides merdae ATCC 43184
0.5168	1292	Clostridium cellulolyticum H10
0.5036	1259	Bacteroides pectinophilus ATCC 43243
0.4792	1198	Bacteroides sp. 9_1_42FAA
0.4704	1176	Ustilago maydis 521
0.462	1155	Faecalibacterium cf. prausnitzii KLE1255
0.4536	1134	Marvinbryantia formatexigens DSM 14469
0.4476	1119	Clostridium botulinum A str. ATCC 3502
0.4476	1119	Bacteroides eggerthii DSM 20697
0.4264	1066	Mitsuokella multacida DSM 20544
0.4244	1061	Bacteroides capillosus ATCC 29799
0.418	1045	Ruminococcus torques ATCC 27756
0.4032	1008	Holdemania filiformis DSM 12042
0.3832	958	Bacteroides ovatus ATCC 8483
0.3788	947	Clostridiales bacterium 1_7_47FAA
0.378	945	Clostridium difficile CD196
0.36	900	Acetivibrio cellulolyticus CD2
0.3524	881	Clostridium perfringens E str. JGS1987
0.3428	857	Clostridium sp. M62/1
0.3336	834	Alkaliphilus metalliredigens QYMF
0.3232	808	Clostridium kluyveri NBRC 12016
0.3232	808	Thermoanaerobacter tengcongensis MB4
0.3208	802	Bacteroides fragilis NCTC 9343
0.3176	794	Anaerotruncus colihominis DSM 17241
0.3092	773	Bacteroides fragilis 3_1_12
0.3076	769	Bacteroides vulgatus PC510
0.3068	767	Blautia hansenii DSM 20583
0.3036	759	Streptomyces ghanaensis ATCC 14672
0.2968	742	Eubacterium siraeum DSM 15702
0.2744	686	Eubacterium ventriosum ATCC 27560
0.268	670	Parabacteroides johnsonii DSM 18315
0.2628	657	Streptococcus thermophilus LMD-9
0.2616	654	Bifidobacterium adolescentis ATCC 15703
0.2552	638	Burkholderia pseudomallei Pasteur 52237
0.2548	637	Porphyromonas gingivalis W83
0.2512	628	Clostridium beijerinckii NCIMB 8052
0.248	620	Ruminococcaceae bacterium D16
0.2444	611	Eubacterium limosum KIST612
0.2432	608	Streptococcus salivarius SK126
0.24	600	Clostridium botulinum E3 str. Alaska E43
0.2344	586	Clostridium bolteae ATCC BAA-613
0.2344	586	Paracoccidioides brasiliensis Pb01
0.2248	562	Bacteroides dorei DSM 17855
0.2212	553	Clostridium asparagiforme DSM 15981
0.22	550	Bacteroides sp. 1_1_6
0.2172	543	Dorea formicigenerans ATCC 27755
0.2172	543	Blautia hydrogenotrophica DSM 10507
0.2168	542	Clostridium acetobutylicum ATCC 824
0.2148	537	Collinsella aerofaciens ATCC 25986
0.2144	536	Prevotella ruminicola 23
0.2112	528	Acidaminococcus fermentans DSM 20731
0.2104	526	Clostridium hathewayi DSM 13479
0.204	510	Ruminococcus gnavus ATCC 29149
0.2	500	Clostridium methylpentosum DSM 5476
0.1976	494	Olsenella uli DSM 7084
0.1896	474	Clostridium nexile DSM 1787
